HR,NcR,TolR,AlphaR,LambdaR,TR,Bench2_1,Bench2_2,Bench2_3,Bench2_4,Bench2_5,Bench2_6,Bench2_7,Bench2_8
0.0850956750606659,2,8.34662338302779e-07,0.849344046316721,-3.09676846456918,2.14860961741928,0.0002921775,0.000451579166666667,0.000352245833333333,0.000338245833333333,0.143564101111656,0.0204474505448659,0.116500519834968,0.0167086548697111
0.0544392534116443,4,7.25841704620057e-08,0.606328497138622,-8.26394676056901,2.56017714975378,0.0005363825,0.0009208825,0.0006203825,0.0006103825,1355.22674322503,119.591084177796,0.0950510008430288,0.116758206206613
0.0715600964133527,2,6.52268916840468e-07,0.971774893497505,-4.49074579657755,5.89076088749625,0.0009293825,0.0014507925,0.0010787925,0.0009977925,0.199084543978289,0.176747960957853,0.253395683314706,0.178158842865764
0.0209062308455166,2,2.49262978074158e-07,0.87635876700677,-8.77187669103486,6.85063569322664,0.0036957925,0.0058987925,0.0043507925,0.0041797925,0.115559418189906,0.0276401273668911,0.11898414632511,0.0282537303330329
0.027895102193872,1,2.74074614448084e-07,0.998929140180592,-7.72409478463466,6.55081149669185,0.0025237925,0.0039297925,0.0029977925,0.0028527925,0.460534914725836,0.555024503226766,0.635086275574159,0.544212729052068
0.100871412613053,1,1.16782239403311e-07,0.668936203338131,-6.00616210591377,4.53889927457729,0.0005078825,0.0007668825,0.0005793825,0.0005673825,2.15520252726468,0.855586723888555,0.111062967344945,0.103531688584503
0.121156675184771,3,3.76390160165097e-07,0.654854299851551,-2.22809703094617,9.90892923529959,0.0008558825,0.0014207925,0.0009958825,0.0009667925,0.214311356925239,0.0213276008363787,0.0847956255849051,0.03226521160697
0.0418599590739708,1,2.49132660216066e-07,0.973038185214865,-1.53925920560991,6.63796175396638,0.0017467925,0.0027007925,0.0021007925,0.0020797925,0.427020374500047,0.456159065882345,0.488757861014695,0.454993001962946
0.087742191741206,2,6.51136547856355e-07,0.87872726459596,-2.09209110166664,5.0411293809884,0.0006173825,0.0009997925,0.0007283825,0.0007083825,0.0969636292585361,0.033090397478249,0.117123235619874,0.033934588267991
0.110031498910848,2,7.3009910102415e-07,0.626400069088825,-1.40096690690286,6.40758575294317,0.0006253825,0.0010668825,0.0007288825,0.0007253825,0.117189313309796,0.0227933800860938,0.0622957937242351,0.016241746193828
0.112237525658669,1,1.04203370425753e-07,0.902185221040987,-1.96744716195484,7.96267544725202,0.0007628825,0.0011597925,0.0008733825,0.0008518825,0.107192639690736,0.0600328367495285,0.136860268728505,0.0490778807593723
0.014204572470559,3,5.71951619247692e-07,0.901550475384499,-3.03138404747069,7.35386314762548,0.0060937925,0.0096527925,0.0066557925,0.0064847925,0.0952140259649791,0.11301757984268,0.146551877367432,0.113016270737837
0.00863554015710685,1,3.52564368563292e-08,0.969209814218593,-7.41690082344409,4.11935646130248,0.0054197925,0.0081727925,0.0062067925,0.0059747925,0.372630918788273,0.402033026026391,0.43578550780533,0.400761343674851
0.024471652369147,3,3.36624846331334e-07,0.884609903451389,-6.03745283848728,2.53067867542753,0.0010837925,0.0018367925,0.0012877925,0.0013637925,0.0914083863387703,0.0409533906102947,0.119094853376591,0.04085703824814
0.110243818774655,3,3.78366449362899e-07,0.649708384788866,-1.11300382143204,4.96067358331285,0.0004708825,0.0007848825,0.0005498825,0.0005363825,0.0866413538426512,0.00962562718535987,0.0561001352814268,0.0100903799047745
