HR,NcR,TolR,AlphaR,Bench1_1,Bench1_2,Bench1_3,Bench1_4,Bench1_5,Bench1_6,Bench1_7,Bench1_8
0.024471652369147,4,3.09172172174828e-07,1.33957547308121,0.0004923825,0.0009303825,0.0007198825,0.0007068825,0.197815253004974,0.00216419856600244,0.200151833610495,0.00216410941824023
0.110243818774655,3,2.77688183356458e-09,0.518833970238674,0.000114396944444444,0.0001849425,0.0002203365,0.0001949425,0.357858910197567,0.0378048648521793,0.260352014779394,0.0239772192432526
0.0158154369094709,4,8.27676725705506e-07,0.60796141953423,0.0007508825,0.0013957925,0.0010507925,0.0010377925,0.109666733495938,0.000957253227697429,0.101320486635645,0.000961070925775652
0.0548997514654555,1,8.62877963946085e-07,1.95091449500041,0.0002616775,0.0003659125,0.000350579166666667,0.0003209275,0.382735584505623,0.00927335110910205,0.404674977306539,0.00907351362438935
0.119900685291662,1,6.74977965091401e-08,1.35215069287991,0.000113396944444444,0.000152375357142857,0.000188109166666667,0.0001602325,0.519351922727706,0.0394640633086756,0.510297913533355,0.03669061425104
0.0684692337272013,4,3.03251520326249e-07,0.804939851991486,0.0001754425,0.0003146775,0.0002791775,0.0002481775,0.275193009955791,0.0133409668352404,0.252135513413332,0.013357195350058
0.0876882442674401,2,9.3400642729521e-07,0.878488616855485,0.00013895,0.0002345365,0.0002107365,0.000218609166666667,0.339757649994993,0.0225307324035695,0.31055170576755,0.0233648295689872
0.0421132209421404,1,2.44612493702794e-07,1.61573878111264,0.0003209275,0.0004429125,0.000429245833333333,0.000437579166666667,0.29042295664111,0.00582603578860924,0.300318191406393,0.00543019557944765
0.0870372217114418,4,2.461991991576e-07,0.793144221663978,0.000137075,0.0002437365,0.0002191365,0.0002223365,0.322118837209673,0.0225769878076979,0.285715335460732,0.0226208444494323
0.104974202456322,2,7.70677669070713e-08,1.37203839090989,0.0001267,0.0001834425,0.0002019365,0.0001769425,0.465224345690115,0.025624726370067,0.468527549683754,0.0256936985436408
0.00612084608464823,4,2.88546393847391e-07,1.95502998363247,0.0020187925,0.0038247925,0.0025767925,0.0024597925,0.115161493731582,0.0003390184612416,0.116148928996676,0.000339016103946941
0.0947440381378672,3,8.75741465124033e-07,1.77024320223505,0.000141375357142857,0.0002201775,0.0002343365,0.0002071365,0.486524857001083,0.0196723642579281,0.521047987184783,0.0196722485495109
